Year,Team,Outcome,Date_String,Title_Drought,Pennant_Drought,Month,Object,Object2,Notes,Player
2005,CWS,Won,4/4,88,46,4,Ring,,,
2005,CWS,Won,4/5,88,46,4,Trophy,,,
2005,CWS,Won,5/7,88,46,5,Poster,,,
2005,CWS,Won,6/25,88,46,6,Cap,,,
2006,STL,Won,4/3,24,2,4,Ring,,,
2006,STL,Won,4/4,24,2,4,Flag,,,
2008,PHI,Won,4/5,28,15,4,Pennant,,,
2008,PHI,Won,4/21,28,15,4,Ring,,Keychain,
2008,PHI,Won,5/29,28,15,5,Book,,Children's,
2008,PHI,Won,4/7,28,15,4,Shirt,,,
2008,PHI,Won,4/18,28,15,4,Baseball,,Children's,Cole Hamels
2008,PHI,Won,4/19,28,15,4,Shirt,,Children's,
2009,NYY,Won,4/15,9,6,4,Cap,,,
2009,NYY,Won,5/16,9,6,5,Bat,,Children's,
2009,NYY,Won,6/2,9,6,6,Cup,,,
2009,NYY,Won,6/13,9,6,6,Ring,,Children's,
2009,NYY,Won,6/16,9,6,6,Bottle Opener,,,
2009,NYY,Won,6/30,9,6,6,Shirt,,,
2009,NYY,Won,7/4,9,6,7,Bowl,,Children's; (for ice cream),
2010,SFG,Won,4/9,56,8,4,Ring,,,
2010,SFG,Won,4/23,56,8,4,Banner,,,
2010,SFG,Won,4/24,56,8,4,Trophy,,,
2010,SFG,Won,5/7,56,8,5,Print,,,
2010,SFG,Won,5/21,56,8,5,Cap,,,
2010,SFG,Won,5/22,56,8,5,Pennant,,,
2011,STL,Won,4/14,5,5,4,Ring,,,
2011,STL,Won,4/17,5,5,4,Poster,,,
2011,STL,Won,4/27,5,5,4,Shirt,,,
2011,STL,Won,4/28,5,5,4,Cap,,,
2011,STL,Won,4/29,5,5,4,Trophy,,,
2011,STL,Won,5/12,5,5,5,Pin,,,
2011,STL,Won,5/25,5,5,5,Cup,,Beer Stein,
2011,STL,Won,5/27,5,5,5,Poster,,Newspaper Front Page,
2011,STL,Won,4/15,5,5,4,Pennant,,,
2011,STL,Won,7/6,5,5,7,Ring,,,
2012,SFG,Won,4/7,2,2,4,Ring,,,
2012,SFG,Won,4/9,2,2,4,Snow Globe,,,
2012,SFG,Won,4/20,2,2,4,Umbrella,,,
2012,SFG,Won,4/21,2,2,4,Banner,,,
2012,SFG,Won,5/4,2,2,5,License Plate Frame,,,
2012,SFG,Won,5/12,2,2,5,Charm Necklace,,,
2012,SFG,Won,5/25,2,2,5,Cap,,,
2012,SFG,Won,6/23,2,2,6,Towel,,,
2013,BOS,Won,5/20,6,6,5,Ring,,,
2014,SFG,Won,4/13,2,2,4,Pennant,,,
2014,SFG,Won,4/14,2,2,4,Bobblehead,,,Madison Bumgarner
2014,SFG,Won,4/15,2,2,4,Snow Globe,,,
2014,SFG,Won,4/16,2,2,4,Calendar,,,
2014,SFG,Won,4/18,2,2,4,Ring,,,
2014,SFG,Won,4/19,2,2,4,Bag,,Backpack,
2014,SFG,Won,5/2,2,2,5,Shirt,,,
2014,SFG,Won,5/9,2,2,5,Bobblehead,,,Hunter Pence
2014,SFG,Won,5/10,2,2,5,Scarf,,Infinity,
2014,SFG,Won,5/30,2,2,5,Bobblehead,,,Brandon Belt; Brandon Crawford; Yusmeiro Petit
2014,SFG,Won,5/31,2,2,5,Banner,,,
2014,SFG,Won,6/13,2,2,6,Bobblehead,,,Jeremy Affeldt; Travis Ishikawa; Joe Panik
